hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
101100,103,15,36666453,22610577,13845.0,1221029.0,9081.0,2583.0,0.9804
102100,203,1,50593476,22542086,15713.0,1312964.0,12834.0,1886.0,0.9486
103100,303,3,72713992,58421587,16654.0,2041820.0,12116.0,0.0,1.1642
103101,304,3,29206747,13406369,9146.0,777862.0,4188.0,0.0,0.9312
104100,403,3,30935922,19262895,10434.0,808407.0,7504.0,0.0,0.8541
105100,503,4,39677943,25996929,10610.0,1167277.0,7703.0,0.0,1.0353
105101,504,4,42124891,25849170,11531.0,845822.0,9414.0,0.0,1.06
105102,505,4,31545087,15982324,7028.0,965632.0,6418.0,0.0,0.9239
106100,603,5,55729668,31398383,12749.0,1239822.0,8831.0,0.0,1.1529
106102,607,5,13850893,8599123,3628.0,636054.0,2654.0,0.0,1.2613
106103,604,5,13931330,7955457,5403.0,469346.0,2830.0,0.0,0.7693
107100,703,5,63448444,56035495,16476.0,1598317.0,12647.0,0.0,1.2488
107101,704,5,22939929,17201007,7828.0,973744.0,6725.0,0.0,0.8968
107102,705,5,19335026,10228260,6106.0,449506.0,4353.0,1186.0,0.8274
108100,803,5,21192911,9689381,8460.0,785479.0,7579.0,0.0,0.9293
108101,804,5,17133722,8979426,6807.0,466177.0,6918.0,0.0,0.9108
109100,2606,13,66097123,48052916,21955.0,3305399.0,36561.0,0.0,0.9686
109101,2605,13,32194763,13792318,4966.0,539246.0,4860.0,0.0,1.3251
110100,2709,13,65140354,56204172,16896.0,3695001.0,16877.0,62.0,1.2862
110120,2708,13,57370976,28615832,14910.0,1352143.0,13112.0,0.0,1.0216
110150,2705,13,16584128,7683504,5921.0,562373.0,4688.0,1946.0,0.7671
111100,2404,13,71731590,49630187,16936.0,2041019.0,11756.0,5149.0,1.0091
111101,2406,13,62283071,36391847,14797.0,2026250.0,9443.0,4477.0,1.1488
111195,2405,13,54516968,26228418,8789.0,1340564.0,9066.0,3921.0,1.6671
112100,2306,13,49046468,72476716,10078.0,1871320.0,12384.0,0.0,1.4069
112101,2305,13,26360265,17422394,13910.0,74320.0,5943.0,0.0,0.8725
112102,2304,13,30779397,24100152,5308.0,758040.0,5045.0,0.0,1.6276
112103,2303,13,15940491,22117463,2848.0,502104.0,1382.0,0.0,2.3067
112104,2308,13,13380060,10426242,2446.0,253033.0,2623.0,0.0,1.9684
113100,2503,13,77802979,59568622,26714.0,3421955.0,20159.0,7307.0,1.0949
113130,2505,13,25155418,12164222,4865.0,336489.0,3829.0,2303.0,1.1478
113180,2508,13,33579922,18782242,11828.0,1454381.0,8016.0,0.0,0.9676
114101,2805,13,111125367,73082444,32035.0,2887421.0,26618.0,0.0,1.1491
114103,3001,13,45969194,28243902,14097.0,1977039.0,8237.0,1852.0,0.9737
115100,903,6,65696442,39467625,19075.0,2106721.0,17498.0,7353.0,1.1737
115107,9010,6,17238737,13955989,5981.0,622599.0,5254.0,0.0,1.0019
116100,1003,7,29055962,23233345,11726.0,1641143.0,10725.0,0.0,0.9228
116105,1008,7,68871066,42097766,22417.0,2821455.0,19580.0,0.0,1.1496
116108,10011,7,24382729,13343015,10025.0,1002889.0,7849.0,0.0,0.9013
117101,1103,16,56105971,29989268,15819.0,1724095.0,14013.0,3196.0,0.9798
117102,1104,16,16314249,7639487,5834.0,555383.0,4684.0,2434.0,0.7874
118100,1203,8,104027944,64952563,22485.0,3438565.0,17985.0,11638.0,1.2976
118105,1205,8,14696616,4693738,5124.0,531094.0,2890.0,6956.0,0.6961
119100,1303,8,55960267,37508006,15817.0,2113472.0,12358.0,0.0,1.0611
120101,1405,8,4112173,1854248,19704.0,2229796.0,13290.0,2813.0,0.9865
121109,17016,9,79170596,64664442,21485.0,2244466.0,17218.0,5242.0,1.1538
122100,1803,14,49906891,38923057,15258.0,1709677.0,13442.0,4299.0,1.0516
123100,1903,10,46211245,29381733,13559.0,1859968.0,14713.0,0.0,0.9724
124105,20011,10,75943962,50918757,19900.0,2007573.0,14831.0,5299.0,1.0634
125100,2107,11,34761656,15935599,7014.0,910923.0,3793.0,0.0,0.9257
126100,2205,12,44747978,25644951,7945.0,757734.0,5744.0,0.0,1.1723
129100,1603,9,21169088,8589320,5736.0,424995.0,3221.0,7233.0,0.8299
129106,1604,9,18628624,7946065,5154.0,427688.0,3423.0,2786.0,0.8801
133150,3302,10,22558213,7819690,5828.0,543613.0,5094.0,1639.0,0.8367
